sample,label
GSM2107242,low_risk
GSM2107243,low_risk
GSM2107244,low_risk
GSM2107245,low_risk
GSM2107246,low_risk
GSM2107247,low_risk
GSM2107248,low_risk
GSM2107249,high_risk
GSM2107250,high_risk
GSM2107251,high_risk
GSM2107252,high_risk
GSM2107253,high_risk
GSM2107254,high_risk
GSM2107255,high_risk
GSM2107256,high_risk
GSM2107257,high_risk
